unique-port,packetsIn,packetsOut,bytesIn,bytesOut
80,99,65,2443,4219
443,24999,74397,2338562,89644215
993,143,148,7078,24119
5223,84,84,1343,14369
5228,33,31,26,26
7000,65,67,369,18659
50093,0,1,0,0
50109,72,67,6637,3436
50131,31,32,26,26
50133,4,6,525,144
50134,4,6,127,146
50135,4,6,192,153
50136,9,10,927,1506
50137,4,6,460,144
50138,4,6,127,146
50139,4,6,192,153
50140,4,6,460,144
50141,4,6,127,146
50142,4,6,192,153
50143,24,24,5797,1199
50144,7,6,1931,41
50145,28,28,5892,1244
50146,24,24,5793,1199
50147,4,6,526,144
50148,4,6,127,146
50149,4,6,192,153
50150,4,6,526,144
50151,4,6,127,146
50152,5,7,192,153
53246,10,12,1910,41
53296,9,10,1910,41
53412,6,6,1910,41
53425,7,6,1910,41
53428,7,7,3358,41
53446,7,6,1910,41
53479,7,6,1910,41
55581,0,2,0,0
55611,1449,675,197669,62572
55615,4,4,0,63
55618,4,3,24,24
55620,4,3,24,24
55622,570,477,163743,107277
55625,5,4,24,24
55628,9,8,426,1732
55630,4,3,24,24
55631,15,15,6207,11810
55632,295,99,16170,13372
55634,6,8,948,3269
55637,3,4,0,63
55638,6,4,297,1806
55640,4,3,24,24
55642,7,4,63,63
55644,4,3,24,24
55645,3,5,0,63
55648,4,3,24,24
55651,465,324,21598,32722
55662,137,143,10996,73509
55666,4,3,24,24
55667,3,4,0,63
55671,148,119,15645,46053
55672,7,5,77,77
55673,9,8,1198,2325
55675,4,3,24,24
55676,113,62,10331,3034
55677,85,39,104105,4698
55678,24,22,11912,4706
55679,10,12,5531,1184
55680,84,27,103918,4703
55681,13,15,5150,1229
55682,18,18,6408,4477
55683,84,36,105835,4346
55684,18,16,6056,1553
55685,8,10,6583,517
55686,39,37,26755,4883
55687,234,140,31066,4906
55688,17,16,6644,1121
55689,15,11,7950,985
55690,9,10,6639,1000
55691,1310,509,1120462,123012
55692,15,15,5699,2335
55693,15,16,5690,2336
55694,15,17,5750,2337
55695,32,26,6036,1620
55696,26,21,13449,3218
55697,27,23,12439,3770
55698,33,26,19251,1585
55699,30,24,10985,4908
55700,88,62,48572,22693
55701,33,29,6836,1315
55702,11,12,5228,1037
55703,110,54,96870,3884
55704,83,37,103787,4341
55705,35,36,10219,12765
55706,53,23,44552,3081
55707,209,88,189673,8892
55708,28,23,18649,4211
55709,89,53,61275,15020
55710,1192,291,1623339,4798
55711,24,19,20307,1577
55712,96,33,118261,1045
55713,11,10,5644,1153
55714,18,13,6737,1297
55715,18,13,8955,1372
55716,21,10,15571,1005
55717,83,32,104680,4347
55718,83,34,104484,4346
55719,131,43,164650,16292
55720,23,22,20253,3834
55721,9,10,6618,1001
55722,10,12,5007,1214
55723,13,10,5920,1148
55724,14,13,5836,1174
55725,84,33,103248,5748
55726,20,17,6254,2499
55727,22,16,7152,2320
55728,21,21,7368,2214
55729,24,23,7289,10132
55730,14,14,7640,941
55731,56,37,19491,3019
55732,28,16,23800,1069
55733,84,43,103428,4353
55734,26,18,20524,1448
55735,18,18,5695,2367
55736,14,14,5667,2335
55737,14,15,5695,2335
55738,18,15,7131,1064
55739,47,22,46312,1581
55740,105,29,133615,1019
55741,26,15,9824,1152
55742,263,46,254799,3697
55743,42,18,49209,1046
55744,40,11,41923,1094
55745,16,12,6070,1416
55746,86,33,103630,5751
55747,36,27,24044,5730
55748,6,6,3571,517
55749,83,43,104650,4350
55750,17,17,3858,2042
55751,80,38,100010,4350
55752,21,20,6056,6017
55753,23,17,10007,3679
55754,85,27,103792,4692
55755,17,18,5678,3735
55756,17,16,5671,3734
55757,17,17,5675,3736
55758,81,33,101845,4350
55759,11,9,5852,1161
55760,83,41,104464,4349
55761,24,19,5228,4899
55762,16,17,7014,3001
55763,83,29,104528,4347
55764,19,16,6047,3351
55765,84,36,105370,4337
55766,16,18,5746,2337
55767,16,15,5756,2337
55768,16,17,5764,2334
55769,89,31,107196,5750
55770,8,9,3571,517
55771,86,37,107123,4352
55772,85,30,106661,4344
55773,10,12,5546,1205
55774,5,6,2520,517
55775,15,15,5506,1065
55776,14,15,4481,1482
55777,23,19,5379,4731
55778,18,15,6056,1553
55779,1071,596,608829,308948
55780,947,183,1122804,17795
55781,63,29,64570,4365
55782,54,44,7726,1697
55783,21,17,9242,938
55784,54,40,18093,6427
55785,16,14,5708,1569
55786,109,68,94414,2752
55787,184,124,34708,55310
55788,16,14,5600,1245
55789,16,14,5641,1246
55790,73,43,61562,3858
55791,11,11,5228,1015
55792,30,27,11063,5796
55793,85,37,106661,4350
55794,26,21,8890,5054
55795,23,20,20209,3840
55796,10,12,5544,1184
55797,48,23,54451,1206
55798,295,69,383303,1696
55799,47,24,51446,1201
55800,2514,191,3507915,4018
55801,443,60,605313,5431
55802,15,15,5695,2337
55803,15,15,5689,2336
55804,15,18,5684,2337
55805,3819,238,5318928,15568
55806,4355,461,5974868,74904
55807,14,15,5102,1039
55808,16,18,5493,2156
55809,84,42,104781,4348
55810,43,22,26056,5961
55811,86,38,107638,4346
55812,85,37,104724,4696
55813,299,48,409132,3825
55814,9085,754,12393045,167612
55815,14,14,6397,1134
55816,7,6,5466,517
55817,39,31,13950,13561
55818,87,40,104785,5748
55819,87,39,106663,4694
55820,19,17,5816,3736
55821,18,17,5749,3733
55822,18,17,5762,3736
55823,84,37,105047,4352
55824,19,19,5850,1649
55825,20,20,5166,3296
55826,84,42,104795,4352
55827,18,15,6056,1553
55828,18,14,6047,1628
55829,13,13,6986,3718
55830,83,37,103809,4349
55831,17,16,6725,1064
55832,34,28,14201,9598
55833,85,31,106662,4349
55834,15,16,5695,2337
55835,15,16,5694,2335
55836,15,17,5688,2336
55837,85,36,104639,4689
55838,499,60,682327,7066
55839,86,40,104544,4698
55840,17,13,6619,1420
55841,34,33,23824,5819
55842,18,19,4942,2516
55843,84,34,104829,4348
55844,82,36,103351,4352
55845,94,80,28628,18681
55846,23,19,20392,3834
55847,19,16,5784,3738
55848,19,19,5701,3767
55849,19,18,5725,3767
55850,83,29,104627,4346
55851,84,33,104847,4352
55852,18,15,6056,1553
55853,86,26,104521,4701
55854,22,19,9042,3250
55855,85,32,104007,5750
55856,15,15,5684,2335
55857,15,15,5699,2335
55858,15,15,5694,2334
55859,60,55,16991,10554
55860,85,29,107533,4345
55861,85,38,106665,4352
55862,25,21,5384,6768
55863,85,35,107562,4347
55864,83,31,103947,4357
55865,8,11,4740,1213
55866,18,16,5725,3736
55867,17,18,5697,3737
55868,18,17,5757,3736
55869,90,33,110799,5750
55870,6,6,3571,517
55871,6,6,3571,517
55872,6,6,3571,517
55873,128,117,31310,20684
55874,177,140,97709,87835
55875,17,16,6306,1093
55876,5931,2380,8038221,9019
55877,17,18,4781,904
55878,4,6,127,228
55879,8,11,4345,517
55880,23,17,5998,1769
55881,42,57,6106,53966
55882,442,430,31145,8747
55883,16,17,5175,2425
55884,27416,10055,37163385,85375
55885,15,14,4587,1839
55886,86,32,105109,4703
55887,6,6,3571,517
55888,20,17,6056,1553
55889,84,44,103031,5748
55890,18,17,7971,1528
55891,21,16,5566,1634
55892,85,39,107729,4345
55893,22,23,7185,5091
55894,12,12,6287,1377
55895,83,38,104642,4350
55896,23,22,20302,3833
55897,16,16,5667,2335
55898,15,14,5685,2336
55899,15,18,5690,2333
55900,70,57,19319,13539
55901,17,19,3860,2068
55902,85,39,106662,4352
55903,24,23,7289,10132
55904,84,41,105768,4353
55905,16,16,6724,1064
55906,16,13,6643,1121
55907,84,39,101656,5750
55908,87,40,106671,5743
55909,24,19,12046,4764
55910,15,17,5701,2334
55911,15,15,5683,2337
55912,15,18,5684,2334
55913,35,34,10170,6120
55914,83,33,103977,4343
55915,19,16,6056,2434
55916,81,36,101735,4350
55917,20,19,10325,3335
55918,84,32,105766,4352
55919,12,9,5883,1161
55920,92,27,109618,2605
55921,14,13,5718,2608
55922,25,24,7481,6467
55923,12,10,9012,947
55924,168,25,214529,3320
55925,11,9,5122,1291
55926,11,9,5122,1292
55927,81,34,101740,4348
55928,18,18,5689,3736
55929,16,20,5696,2335
55930,18,19,5682,3733
55931,8,8,4344,517
55932,8,7,4340,517
55933,55,48,14909,11857
55934,87,36,106721,4690
55935,86,27,105793,4701
55936,84,28,105744,4340
55937,83,31,105766,4349
55938,14,16,8232,927
55939,86,32,105434,5052
55940,15,16,5663,2338
55941,15,15,5698,2335
55942,15,16,5692,2335
55943,79,74,25430,16755
55944,11,11,4694,1420
55945,11,12,4965,2260
55946,12,15,5979,1476
55947,83,26,103814,4345
55948,87,40,109444,4350
55949,138,53,175637,16038
55950,18,19,5945,1598
55951,24,17,20911,3840
55952,85,30,107539,4353
60625,7,6,1910,41
62473,84,84,14369,1343
